year,make,model,variant,body_type,odometer,transmission,rego,price,fuel_type,location,url,scrape_date,canonical_tag,canonical_reason
2022,Toyota,Corolla Cross,Atmos Awd Hybrid,Wagon,14781,Automatic,,49990,Hybrid,VIC,car/14885068/toyota/corolla-cross/vic/elsternwick/suv,2026-01-25T15:12:25,,
2021,Toyota,Hilux,WORKMATE,Ute Tray,112302,Automatic,2026-06-17,39490,Other,VIC,car/14857698/toyota/hilux/vic/melbourne/pickup,2026-01-25T15:12:25,,
2023,Toyota,Camry,Sl Hybrid,Sedan,31378,Automatic,,49990,Hybrid,VIC,car/14897064/toyota/camry/vic/elsternwick/sedan,2026-01-25T15:12:25,,
2018,Toyota,Hilux,Rogue (4X4),Dual Cab Utility,110677,Automatic,2026-02-26,51888,Diesel,VIC,car/14891171/toyota/hilux/vic/tottenham/dual-cab,2026-01-25T15:12:25,,
2007,Toyota,Corolla,Ascent,Sedan,201150,Automatic,2026-02-03,7990,Unleaded,VIC,car/14809744/toyota/corolla/vic/maidstone/sedan,2026-01-25T15:12:25,,
2022,Toyota,Hilux,Sr5 Hi-Rider (4X2),Double Cab Pick Up,30811,Automatic,2026-08-15,50888,Diesel,VIC,car/14910684/toyota/hilux/vic/tottenham/dual-cab,2026-01-25T15:12:25,,
2007,Toyota,Kluger,Kx-S (Fwd),Wagon,236033,Automatic,2025-10-25,11499,Unleaded,VIC,car/14886201/toyota/kluger/vic/braybrook/suv,2026-01-25T15:12:25,,
2024,Toyota,RAV4,Xse (Awd) Hybrid Premium Paint,Wagon,15211,Automatic,2026-11-07,59990,Hybrid,VIC,car/14871751/toyota/rav4/vic/south-melbourne/suv,2026-01-25T15:12:25,,
2024,Toyota,Kluger,Grande 2Wd,Wagon,11728,Automatic,2026-01-08,67970,Unleaded,VIC,car/14843906/toyota/kluger/vic/keysborough/suv,2026-01-25T15:12:25,,
2011,Toyota,Corolla,Ascent Sport,Hatchback,157038,Automatic,,12990,Unleaded,VIC,car/14915165/toyota/corolla/vic/elsternwick/hatchback,2026-01-25T15:12:25,,
2018,Toyota,C-HR,S LED PACKAGE,SUV,88823,Automatic,,22995,Unleaded,VIC,car/14887297/toyota/c-hr/vic/maidstone/suv,2026-01-25T15:12:25,,
2019,Toyota,Camry,Ascent Sport,Sedan,79000,Automatic,2026-07-28,26990,Unleaded,VIC,car/14803507/toyota/camry/vic/nunawading/sedan,2026-01-25T15:12:25,,
